Timestamp,Are the project goals clear?,Does the question/instruction for the task make sense?,How easy or difficult did you find the task?,If you answered 'Somewhat hard' or 'Very hard' which of the following best describes the problem?,Does the tutorial adequately prepare you to make a classification?,Did you find the task help text useful?,Was the field guide helpful?,Did you read the additional information on other pages?,"If 'yes', was the additional information useful?",What (if any) additional information would you like added to the project?,Are there suitable Talk boards set up?,"If you answered 'no' to the previous question, please tell us what Talk boards you would like to see.",Do you like the name of the project?,"If you answered 'no' to the previous question, please feel free to suggest a name here.","In your opinion, is this project suitable for the Zooniverse?","If you answered 'No' to the previous question, please tell us why.",Do you have any other comments on the project?,"If we decide to launch this project publicly, do you think you will take part?"
1/6/2026 12:27:33,Yes,Yes,Somewhat hard,,I didn't read it,I didn't read it,I didn't read it,No,,,,,,,,,Many pieces of text made no sense to me; they probably relate to contemporary culture with which I am unfamiliar,Not sure
1/6/2026 13:14:56,Yes,Yes,Very easy,,Yes,Yes,Yes,No,,"Concreteness could also define things one can't feel with touch etc. From Meriamm Webster: ""the word poem is concrete, poetry is abstract""",Yes,,No,Sensory,Yes,,,Yes
1/6/2026 13:55:52,Yes,Yes,Moderately easy,,Yes,I didn't read it,I didn't read it,No,,,,,Yes,,Yes,,,Yes
1/6/2026 14:07:53,No,Yes,Somewhat hard,"It just becomes quite confusing and difficult to determine, sentence after sentence, where they fall on the abstract/concrete continuum",Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,"I only did the Concreteness task.  I found it irritating, though I am not sure quite why.  I am not really sure about the whole premise of the project.  There seems to be an assumption that engaging the senses equals creating an immersive experience, but I'm not sure that is a valid assumption.",No
1/6/2026 14:27:40,Yes,Yes,Somewhat hard,"Not great at grammar, propper english",Yes,Yes,Yes,No,,,,,Yes,,Yes,,,Yes
1/6/2026 14:40:06,Yes,Yes,Very easy,,Yes,Yes,There is no field guide,No,,,Yes,,No,Sensing Story Meaning,Yes,,,Yes
1/6/2026 14:51:03,Yes,Yes,Somewhat hard,Relies heavily on how I feel at the time of answering the question,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,It is hard to quantify my reaction to the piece and if my reaction is different to others I don't see what help this is to any study as there will be a wide range of reaction from any given number of people,No
1/6/2026 15:06:48,Yes,Yes,Moderately easy,,Yes,I didn't read it,I didn't read it,No,,,Yes,,Yes,,Yes,,,Yes
1/6/2026 15:38:12,Yes,Yes,Moderately easy,,Yes,I didn't read it,I didn't read it,No,,,Yes,,Yes,,Yes,,,Yes
1/6/2026 16:01:17,No,Yes,Moderately easy,had to think about each sentence and try to use consistent logic,Yes,I didn't read it,I didn't read it,No,,"i did the items for about ten minutes and wasn't sure if/when i would be ""done"".  should be clearer.  ",No,i dont know what that is,Yes,,,,,Not sure
1/6/2026 16:11:03,Yes,Yes,Moderately easy,,Yes,Yes,Yes,No,,,Yes,,Yes,,Yes,,Many of the sentences are grammatically incorrect which throw me off and may distract myself and others from focusing solely on imageability. ,Yes and I'll bring friends!
1/6/2026 16:26:04,Yes,Yes,Somewhat hard,Guessing on accuracy,Yes,Yes,I didn't read it,No,,,,,Yes,,Yes,,,Not sure
1/6/2026 16:40:35,Yes,Yes,Moderately easy,,Yes,Yes,Yes,No,,,Yes,,Yes,,Yes,,,Not sure
1/6/2026 16:48:10,Yes,Yes,Somewhat hard,"Task too complicated, hard to quantify and the examples are somewhat unclear",No,Yes,Yes,No,,,No,,Yes,,Yes,,,No
1/6/2026 17:12:25,Yes,Yes,Somewhat hard,The task isn't complicated but the thought process required is complex.,Yes,Yes,Yes,No,,,Yes,,Yes,,Yes,,,Not sure
1/6/2026 17:48:40,Yes,Yes,Very easy,,Yes,I didn't read it,I didn't read it,No,,,Yes,,Yes,,Yes,,,Not sure
1/6/2026 18:30:45,No,Yes,Moderately easy,,Yes,Yes,Yes,No,,"I would like to see a clear statement upfront on whether this project is being used to train AI or not, which it almost certainly is, but still.",Yes,,Yes,,No,I do not believe it is ethical at this time to advance the capabilities of AI in writing. ,No.,No
1/6/2026 18:47:30,Yes,Yes,Very hard,"I'm not sure where the text is sourced, but either the translations are incomplete or AI generated because many of them are very hard to comprehend.",Yes,I didn't read it,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes
1/6/2026 21:21:11,Yes,Yes,Very easy,,Yes,I didn't read it,I didn't read it,No,,,Yes,,Yes,,Yes,,,Yes
1/6/2026 21:29:05,No,No,Somewhat hard,Impossible to record my responses due to poor question design.,No,Yes,I didn't read it,Yes,No,"Responses are predetermined by the question design. There is no allowance  for genuine reader responses. Reading by real people in the real world is way more nuanced.  Pretending otherwise leads to a frustrating user experience and very poor data. The samples I saw had a high proportion of poor quality writing. I have doubts about the breadth and relevance of the source literature.

",Yes,,No,"I actually like the name, except that it doesn't apply to your research. 'Stories' engage & evoke senses in an utterly different way to orphan sentences. Surely you can see this? ",Yes,," I love the idea, but the methodology doesn't seem likely to give you useful reults yet.  The impact words/text has on me is far more complex than the tasks assume. Therefore classification is difficult. E.g. 'Concreteness' and 'abstractness' can be evoked simultaneously by even the simplest text, and a scale can't describe this complexity. A sentence could evoke 6 concrete as well as 7 abstract. They are not mutually exclusive.  ",Yes
1/7/2026 0:50:20,Yes,Yes,Moderately easy,,Yes,Yes,I didn't read it,No,,,Yes,,Yes,,Yes,,"This project's tasks are a bit different than most Zooniverse projects, as there is diversity and, personally, made me curious and extremely interested.",Yes
1/7/2026 5:49:12,Yes,Yes,Moderately easy,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Good luck!,"No, No, but because I am already moderating another project (that already requires a lot of time). Nice project and good luck!"
