classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
678531007,rie_eriksen,2930918,a804d3ecf14efaf767b5,30376,Concreteness,30.30,2025-10-28 10:09:15 UTC,,,"{""source"":""api"",""session"":""4b0fea3bcacae42a773db0869a314dd2daa16cff69c5720a037e00a8e4a1bffc"",""viewport"":{""width"":3840,""height"":1510},""started_at"":""2025-10-28T10:09:09.989Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Safari/605.1.15"",""utc_offset"":""-3600"",""finished_at"":""2025-10-28T10:09:14.963Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":480,""naturalWidth"":640,""naturalHeight"":480}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-10-28T10:09:09.632Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""90772""}","[{""task"":""T0"",""task_label"":""Rate how concrete the meaning of this sentence is to you - i.e., how much it refers directly to tangible things/entities."",""value"":[""(7) Most concrete""]}]","{""458027"":{""retired"":null,""link"":""https://www.flickr.com/photos/nicolee123nd/5205217308"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""5205217308_de72e18894_z.jpg"",""subject_id"":7,""attribution"":""Nicole Doherty""}}",458027
684429952,akpiper11,2478225,b703a714215f51ab99ed,30494,Senses Survey,9.10,2025-11-20 01:58:01 UTC,,,"{""source"":""api"",""session"":""4c3151d429483a724bfe5a4832f78598c52d0c49ae890f9bbecdbda678d246b1"",""feedback"":{},""revision"":""33c82c0cdceaa1f162cdd7380b1f7e7f4946efde"",""viewport"":{""width"":1512,""height"":779},""started_at"":""2025-11-20T01:57:20.757Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2025-11-20T01:58:01.330Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":810,""clientHeight"":607.5,""naturalWidth"":1024,""naturalHeight"":370}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-20T01:57:20.881Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":[{""choice"":""SIGHT"",""answers"":{""HOWSTRONGLYDOESTHISSENTENCEEVOKETHISKINDOFSENSEEXPERIENCE"":""6""},""filters"":{}}],""taskType"":""survey""}]","{""115699117"":{""retired"":null,""text"":""Most of the dark figures with their weird shadows had passed out of the graveyard, and Aunt Polly was nowhere to be seen."",""image"":""5IwavCss.jpg"",""sentence_id"":""5IwavCss""}}",115699117
685270233,rie_eriksen,2930918,2feac926d4a051ae38cb,30376,Concreteness,35.41,2025-11-23 16:10:48 UTC,,,"{""session"":""ea2d38dcd2d101a9ee4d62c654deaba1a9ac77407d1d88a81079b8639977ff71"",""viewport"":{""width"":375,""height"":812},""started_at"":""2025-11-23T16:09:21.286Z"",""user_agent"":""ios Mobile App"",""utc_offset"":""0"",""finished_at"":""2025-11-23T16:10:48.272Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":137.3291015625,""clientHeight"":92.1630822122097,""naturalWidth"":1024,""naturalHeight"":370}]}","[{""task"":""T0"",""task_label"":""How **concrete** is this sentence? \n\nWe define concreteness as the extent to which the sentence makes you think of specific, physical things you could see, touch, or experience directly."",""value"":""(2) ""}]","{""115699118"":{""retired"":null,""text"":""When Bessus arrived, the former Great King's brother and other relatives inflicted every possible torture and humiliation on him, then cut him to pieces."",""image"":""VC3cTVi5.jpg"",""sentence_id"":""VC3cTVi5""}}",115699118
686165274,not-logged-in-c82a9a7909ccb2c5eedd,,c82a9a7909ccb2c5eedd,30376,Concreteness,35.41,2025-11-26 13:15:19 UTC,,,"{""source"":""api"",""session"":""4cbe851384753eaa2d5e3619f2e58a57a26cc13355be743d8d397646b09709c3"",""feedback"":{},""revision"":""21619f361d58e2efc62f8fbcc9decf7ebc6d51bf"",""viewport"":{""width"":1440,""height"":748},""started_at"":""2025-11-26T13:13:24.295Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2025-11-26T13:15:19.026Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":878,""clientHeight"":658.5,""naturalWidth"":1024,""naturalHeight"":410}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-26T13:13:24.240Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""How **concrete** is this sentence? \n\nWe define concreteness as the extent to which the sentence makes you think of specific, physical things you could see, touch, or experience directly."",""value"":""(7) Very concrete.""}]","{""115699151"":{""retired"":null,""text"":""The roar of a plane engine became very audible from where Dan was, and he could see an American Airlines plane in midair looking like a big white bird approaching the airport from the northern axis."",""image"":""PNFlEVT3.jpg"",""sentence_id"":""PNFlEVT3""}}",115699151
686165312,not-logged-in-c82a9a7909ccb2c5eedd,,c82a9a7909ccb2c5eedd,30376,Concreteness,35.41,2025-11-26 13:15:26 UTC,,,"{""source"":""api"",""session"":""4cbe851384753eaa2d5e3619f2e58a57a26cc13355be743d8d397646b09709c3"",""feedback"":{},""revision"":""21619f361d58e2efc62f8fbcc9decf7ebc6d51bf"",""viewport"":{""width"":1440,""height"":748},""started_at"":""2025-11-26T13:15:19.034Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2025-11-26T13:15:26.374Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":878,""clientHeight"":658.5,""naturalWidth"":1024,""naturalHeight"":330}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-26T13:13:24.240Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""How **concrete** is this sentence? \n\nWe define concreteness as the extent to which the sentence makes you think of specific, physical things you could see, touch, or experience directly."",""value"":""(7) Very concrete.""}]","{""115699111"":{""retired"":null,""text"":""His name, Lester P. Underhill, was engraved on a lump of coal set on the edge of his desk."",""image"":""qudgEVMT.jpg"",""sentence_id"":""qudgEVMT""}}",115699111
686165414,not-logged-in-c82a9a7909ccb2c5eedd,,c82a9a7909ccb2c5eedd,30376,Concreteness,35.41,2025-11-26 13:15:44 UTC,,,"{""source"":""api"",""session"":""4cbe851384753eaa2d5e3619f2e58a57a26cc13355be743d8d397646b09709c3"",""feedback"":{},""revision"":""21619f361d58e2efc62f8fbcc9decf7ebc6d51bf"",""viewport"":{""width"":1440,""height"":748},""started_at"":""2025-11-26T13:15:26.378Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2025-11-26T13:15:44.542Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":878,""clientHeight"":658.5,""naturalWidth"":1024,""naturalHeight"":330}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-26T13:13:24.240Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""How **concrete** is this sentence? \n\nWe define concreteness as the extent to which the sentence makes you think of specific, physical things you could see, touch, or experience directly."",""value"":""(5)""}]","{""115699119"":{""retired"":null,""text"":""Leaving the plague-savaged woman behind, the delegation marched southward."",""image"":""3cTJbQQ1.jpg"",""sentence_id"":""3cTJbQQ1""}}",115699119
686165529,not-logged-in-c82a9a7909ccb2c5eedd,,c82a9a7909ccb2c5eedd,30376,Concreteness,35.41,2025-11-26 13:16:02 UTC,,,"{""source"":""api"",""session"":""4cbe851384753eaa2d5e3619f2e58a57a26cc13355be743d8d397646b09709c3"",""feedback"":{},""revision"":""21619f361d58e2efc62f8fbcc9decf7ebc6d51bf"",""viewport"":{""width"":1440,""height"":748},""started_at"":""2025-11-26T13:15:44.545Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2025-11-26T13:16:02.373Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":878,""clientHeight"":658.5,""naturalWidth"":1024,""naturalHeight"":290}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-26T13:13:24.240Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""How **concrete** is this sentence? \n\nWe define concreteness as the extent to which the sentence makes you think of specific, physical things you could see, touch, or experience directly."",""value"":""(2) ""}]","{""115699114"":{""retired"":null,""text"":""Maybe you just caught a little fire, but no harm done."",""image"":""kEY4SoOs.jpg"",""sentence_id"":""kEY4SoOs""}}",115699114
686165573,not-logged-in-c82a9a7909ccb2c5eedd,,c82a9a7909ccb2c5eedd,30376,Concreteness,35.41,2025-11-26 13:16:12 UTC,,,"{""source"":""api"",""session"":""4cbe851384753eaa2d5e3619f2e58a57a26cc13355be743d8d397646b09709c3"",""feedback"":{},""revision"":""21619f361d58e2efc62f8fbcc9decf7ebc6d51bf"",""viewport"":{""width"":1440,""height"":748},""started_at"":""2025-11-26T13:16:02.376Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2025-11-26T13:16:12.695Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":878,""clientHeight"":658.5,""naturalWidth"":1024,""naturalHeight"":370}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-26T13:13:24.240Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""How **concrete** is this sentence? \n\nWe define concreteness as the extent to which the sentence makes you think of specific, physical things you could see, touch, or experience directly."",""value"":""(2) ""}]","{""115699153"":{""retired"":null,""text"":""On the occasion of one of the daily visits of Flint and Brady, they were made aware of unmistakable signs of a domestic unpleasantness."",""image"":""2ZsxPiP2.jpg"",""sentence_id"":""2ZsxPiP2""}}",115699153
686165644,not-logged-in-c82a9a7909ccb2c5eedd,,c82a9a7909ccb2c5eedd,30376,Concreteness,35.41,2025-11-26 13:16:27 UTC,,,"{""source"":""api"",""session"":""4cbe851384753eaa2d5e3619f2e58a57a26cc13355be743d8d397646b09709c3"",""feedback"":{},""revision"":""21619f361d58e2efc62f8fbcc9decf7ebc6d51bf"",""viewport"":{""width"":1440,""height"":748},""started_at"":""2025-11-26T13:16:12.699Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2025-11-26T13:16:27.243Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":878,""clientHeight"":658.5,""naturalWidth"":1024,""naturalHeight"":330}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-26T13:13:24.240Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""How **concrete** is this sentence? \n\nWe define concreteness as the extent to which the sentence makes you think of specific, physical things you could see, touch, or experience directly."",""value"":""(2) ""}]","{""115699132"":{""retired"":null,""text"":""But now her usually possessive uncle and lover was suggesting that Rose write to Bushnell again."",""image"":""59hvhYBH.jpg"",""sentence_id"":""59hvhYBH""}}",115699132
686165686,not-logged-in-c82a9a7909ccb2c5eedd,,c82a9a7909ccb2c5eedd,30376,Concreteness,35.41,2025-11-26 13:16:35 UTC,,,"{""source"":""api"",""session"":""4cbe851384753eaa2d5e3619f2e58a57a26cc13355be743d8d397646b09709c3"",""feedback"":{},""revision"":""21619f361d58e2efc62f8fbcc9decf7ebc6d51bf"",""viewport"":{""width"":1440,""height"":748},""started_at"":""2025-11-26T13:16:27.248Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2025-11-26T13:16:35.558Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":878,""clientHeight"":658.5,""naturalWidth"":1024,""naturalHeight"":290}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-26T13:13:24.240Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""How **concrete** is this sentence? \n\nWe define concreteness as the extent to which the sentence makes you think of specific, physical things you could see, touch, or experience directly."",""value"":""(3)""}]","{""115699130"":{""retired"":null,""text"":""Ben did better and better at his business trips."",""image"":""ZPqqjsu6.jpg"",""sentence_id"":""ZPqqjsu6""}}",115699130
